min_train_loss=0.374, at batch_size=256, rnn_size=500, embed_dim=100, keep_prob=0.7, num_layers=1
min_train_loss=0.271, at batch_size=256, rnn_size=500, embed_dim=100, keep_prob=0.8, num_layers=1
min_train_loss=0.190, at batch_size=256, rnn_size=500, embed_dim=100, keep_prob=0.9, num_layers=1
min_train_loss=0.183, at batch_size=256, rnn_size=500, embed_dim=100, keep_prob=1, num_layers=1
min_train_loss=0.386, at batch_size=256, rnn_size=500, embed_dim=200, keep_prob=0.7, num_layers=1
min_train_loss=0.267, at batch_size=256, rnn_size=500, embed_dim=200, keep_prob=0.8, num_layers=1
min_train_loss=0.188, at batch_size=256, rnn_size=500, embed_dim=200, keep_prob=0.9, num_layers=1
min_train_loss=0.182, at batch_size=256, rnn_size=500, embed_dim=200, keep_prob=1, num_layers=1
min_train_loss=0.384, at batch_size=256, rnn_size=500, embed_dim=300, keep_prob=0.7, num_layers=1
min_train_loss=0.232, at batch_size=256, rnn_size=500, embed_dim=300, keep_prob=0.8, num_layers=1
min_train_loss=0.187, at batch_size=256, rnn_size=500, embed_dim=300, keep_prob=0.9, num_layers=1
min_train_loss=0.182, at batch_size=256, rnn_size=500, embed_dim=300, keep_prob=1, num_layers=1
min_train_loss=0.488, at batch_size=512, rnn_size=200, embed_dim=100, keep_prob=0.7, num_layers=1
min_train_loss=0.360, at batch_size=512, rnn_size=200, embed_dim=100, keep_prob=0.8, num_layers=1
min_train_loss=0.250, at batch_size=512, rnn_size=200, embed_dim=100, keep_prob=0.9, num_layers=1
min_train_loss=0.179, at batch_size=512, rnn_size=200, embed_dim=100, keep_prob=1, num_layers=1
min_train_loss=0.442, at batch_size=512, rnn_size=200, embed_dim=200, keep_prob=0.7, num_layers=1
min_train_loss=0.342, at batch_size=512, rnn_size=200, embed_dim=200, keep_prob=0.8, num_layers=1
min_train_loss=0.229, at batch_size=512, rnn_size=200, embed_dim=200, keep_prob=0.9, num_layers=1
min_train_loss=0.179, at batch_size=512, rnn_size=200, embed_dim=200, keep_prob=1, num_layers=1
min_train_loss=0.452, at batch_size=512, rnn_size=200, embed_dim=300, keep_prob=0.7, num_layers=1
min_train_loss=0.351, at batch_size=512, rnn_size=200, embed_dim=300, keep_prob=0.8, num_layers=1
min_train_loss=0.228, at batch_size=512, rnn_size=200, embed_dim=300, keep_prob=0.9, num_layers=1
min_train_loss=0.178, at batch_size=512, rnn_size=200, embed_dim=300, keep_prob=1, num_layers=1
min_train_loss=0.365, at batch_size=512, rnn_size=300, embed_dim=100, keep_prob=0.7, num_layers=1
min_train_loss=0.283, at batch_size=512, rnn_size=300, embed_dim=100, keep_prob=0.8, num_layers=1
min_train_loss=0.197, at batch_size=512, rnn_size=300, embed_dim=100, keep_prob=0.9, num_layers=1
min_train_loss=0.177, at batch_size=512, rnn_size=300, embed_dim=100, keep_prob=1, num_layers=1
min_train_loss=0.327, at batch_size=512, rnn_size=300, embed_dim=200, keep_prob=0.7, num_layers=1
min_train_loss=0.256, at batch_size=512, rnn_size=300, embed_dim=200, keep_prob=0.8, num_layers=1
min_train_loss=0.190, at batch_size=512, rnn_size=300, embed_dim=200, keep_prob=0.9, num_layers=1
min_train_loss=0.176, at batch_size=512, rnn_size=300, embed_dim=200, keep_prob=1, num_layers=1
min_train_loss=0.320, at batch_size=512, rnn_size=300, embed_dim=300, keep_prob=0.7, num_layers=1
